Latitude,Longitude,UseCategory,Buildings,Units,Stories,Rooms,Beds,YearBuilt,Baths,Area,LandValue,ImprovementValue,HomeValue,LatestDocument
37.7342773,-122.2423233,Single-family Detached,1,1,1,7,3,1965,2.0,1439,68948,92508,161456,1976
37.7542193,-122.2320852,Single-family Detached,1,1,0,0,0,1975,0.0,2149,64212,99551,163763,1976
37.7662123,-122.2300463,Single-family Detached,1,1,2,6,2,1939,2.0,1380,94597,70538,165135,1976
37.776604,-122.2713038,Single-family Detached,1,1,1,6,3,1910,1.0,1068,37663,17710,55373,1977
37.7730457,-122.2489266,Single-family Detached,1,1,2,6,3,1896,1.0,1124,41248,26531,67779,1977
37.7788262,-122.2728103,Single-family Detached,1,1,1,6,3,1910,1.5,1383,72460,22604,95064,1977
37.7532993,-122.2350991,Single-family Detached,1,1,1,5,3,1948,1.0,1246,68657,41194,109851,1977
37.759786,-122.2291155,Single-family Attached,2,2,0,0,0,0,0.0,1428,80373,29520,109893,1977
37.7560724,-122.2360299,Single-family Detached,1,1,1,7,3,1917,1.0,1510,78216,35601,113817,1977
37.7600875,-122.2558397,Single-family Detached,1,1,1,6,3,1962,2.0,1641,34434,84924,119358,1977
37.7515449,-122.2404168,Townhouse,1,1,2,6,3,1972,2.5,1557,62953,69714,132667,1977
37.7356392,-122.2422901,Townhouse,1,1,2,5,3,1972,1.5,1340,63376,76051,139427,1977
37.7362873,-122.2471388,Townhouse,1,1,2,6,3,1968,2.5,1584,59996,82811,142807,1977
37.7573498,-122.2416142,Single-family Detached,1,1,1,6,3,1921,1.0,1317,120837,31265,152102,1977
37.7604544,-122.2302236,Single-family Detached,1,1,1,6,3,1910,1.0,1231,121260,32955,154215,1977
37.7763228,-122.2706392,Single-family Detached,1,1,2,6,2,1923,2.0,2188,130344,51334,181678,1977
37.7630785,-122.2638601,Single-family Detached,1,1,1,7,4,1963,2.0,1510,113655,74120,187775,1977
37.7749639,-122.2903097,Single-family Detached,1,1,2,0,4,1945,2.0,1903,64855,128792,193647,1977
37.7555472,-122.2473644,Single-family Detached,1,1,2,5,3,1959,2.0,1606,134146,66545,200691,1977
37.7554075,-122.2297804,Single-family Detached,1,1,2,8,5,1938,3.0,1854,104780,95972,200752,1977
37.7617547,-122.2339024,Single-family Detached,1,1,1,6,3,1927,1.5,1645,147244,69291,216535,1977
37.7570277,-122.2480403,Single-family Detached,1,1,2,8,4,1939,3.0,2777,95354,124815,220169,1977
37.7756131,-122.2589415,Single-family Detached,1,1,1,7,4,1906,1.0,1286,43268,15020,58288,1978
37.7685429,-122.2412153,Single-family Detached,1,1,2,6,3,0,1.0,1195,43595,46781,90376,1978
37.7759583,-122.2580921,Single-family Detached,1,1,1,5,2,1918,1.0,957,75389,25060,100449,1978
37.7765567,-122.2799876,Single-family Detached,1,1,1,4,2,1906,1.0,874,102935,8905,111840,1978
37.7585567,-122.2360742,Single-family Detached,1,1,1,4,1,1905,1.0,840,71267,41225,112492,1978
37.7745072,-122.2802487,Single-family Detached,1,1,1,5,2,1924,1.0,1080,113705,31274,144979,1978
37.7635927,-122.2359412,Single-family Detached,1,1,1,6,3,1918,1.0,1180,125925,30445,156370,1978
37.7708419,-122.2451597,Single-family Detached,1,1,1,6,3,1912,1.5,1567,120126,36244,156370,1978
37.7669383,-122.2313317,Single-family Attached,1,2,1,9,4,1940,2.5,2096,103092,54283,157375,1978
37.775466,-122.2774623,Single-family Detached,1,1,2,6,3,1904,1.5,1404,49707,109569,159276,1978
37.7346184,-122.2441071,Townhouse,1,1,2,5,3,1971,2.5,1639,67519,98172,165691,1978
37.7624856,-122.2642145,Single-family Detached,1,1,1,7,4,1963,2.0,1393,101692,73318,175010,1978
37.772059,-122.262512,Single-family Detached,1,1,2,8,4,1919,2.5,2840,125511,56749,182260,1978
37.77242,-122.2525605,Single-family Detached,1,1,1,5,2,1880,1.0,1395,168383,15947,184330,1978
37.7599905,-122.2596948,Single-family Detached,1,1,1,5,3,1960,2.0,1451,111220,85538,196758,1978
37.7611116,-122.2580996,Single-family Detached,1,1,1,7,3,1959,2.0,1557,117226,91958,209184,1978
37.7389948,-122.2457717,Townhouse,1,1,2,6,3,1979,2.5,1725,93408,128203,221611,1978
37.737809,-122.244805,Townhouse,1,1,2,8,4,1977,2.5,2018,75803,145808,221611,1978
